Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Deposit,16/01/2023 19:04,,,,,,,,,,50,EUR,,,,,---,---,,
Deposit,16/01/2023 19:48,,,,,,,,,,430,EUR,,,,,---,---,,
Market buy,17/01/2023 08:00,---,XSLR,Xtrackers IE Physical Silver,0.748008,34.69,USD,1.08298,,EUR,24,EUR,,,,,,---,0.04,EUR
Market buy,17/01/2023 08:00,---,QCLN,First Trust Nasdaq Clean Edge Green Energy (Acc),2.58608966,1642.8,GBX,88.63818,,EUR,48,EUR,,,,,,---,0.07,EUR
Market buy,17/01/2023 08:00,---,SGLN,iShares Physical Gold,0.69704978,3047,GBX,88.64401,,EUR,24,EUR,,,,,,---,0.04,EUR
Market buy,17/01/2023 08:04,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.3581193,201.05,EUR,1,,EUR,72,EUR,,,,,,---,,
Market buy,17/01/2023 08:04,---,VUAA,Vanguard S&P 500 (Acc),2.599149,68.33,EUR,1,,EUR,177.6,EUR,,,,,,---,,
Market buy,17/01/2023 08:04,---,VWCE,Vanguard FTSE All-World (Acc),1.427963,94.12,EUR,1,,EUR,134.4,EUR,,,,,,---,,
Market sell,18/01/2023 12:19,---,QCLN,First Trust Nasdaq Clean Edge Green Energy (Acc),2.58608966,1639,GBX,87.53822,0.49,EUR,48.35,EUR,,,,,,---,0.07,EUR
Market sell,18/01/2023 12:20,---,XSLR,Xtrackers IE Physical Silver,0.069919,34.83,USD,1.08234,0.01,EUR,2.25,EUR,,,,,,---,,
Market sell,18/01/2023 12:20,---,SGLN,iShares Physical Gold,0.06847769,3017,GBX,87.54118,0.01,EUR,2.36,EUR,,,,,,---,,
Market sell,18/01/2023 12:21,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.0365788,202.3,EUR,1,0.05,EUR,7.4,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,VWCE,Vanguard FTSE All-World (Acc),0.038115,94.71,EUR,1,,EUR,3.61,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,VUAA,Vanguard S&P 500 (Acc),0.121864,68.6,EUR,1,,EUR,8.36,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,VWCE,Vanguard FTSE All-World (Acc),0.163479,94.69,EUR,1,,EUR,15.48,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.0358019,202.5,EUR,1,,EUR,7.25,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,SGLN,iShares Physical Gold,0.06986827,3020,GBX,87.55276,,EUR,2.41,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,XSLR,Xtrackers IE Physical Silver,0.07477,34.9,USD,1.08276,,EUR,2.41,EUR,,,,,,---,,
Market buy,18/01/2023 12:21,---,VUAA,Vanguard S&P 500 (Acc),0.303293,68.58,EUR,1,,EUR,20.8,EUR,,,,,,---,,
Deposit,23/01/2023 19:50,,,,,,,,,,20,EUR,,,,,---,---,,
Deposit,23/01/2023 20:02,,,,,,,,,,30,EUR,,,,,---,---,,
Market buy,24/01/2023 08:00,---,SGLN,iShares Physical Gold,0.1149223,3048,GBX,87.79026,,EUR,4,EUR,,,,,,---,0.01,EUR
Market buy,24/01/2023 08:04,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.0372018,201.6,EUR,1,,EUR,7.5,EUR,,,,,,---,,
Market buy,24/01/2023 08:04,---,VUAA,Vanguard S&P 500 (Acc),0.328324,68.56,EUR,1,,EUR,22.51,EUR,,,,,,---,,
Market buy,24/01/2023 08:04,---,VWCE,Vanguard FTSE All-World (Acc),0.168702,94.9,EUR,1,,EUR,16.01,EUR,,,,,,---,,
Market sell,26/01/2023 15:29,---,XSLR,Xtrackers IE Physical Silver,0.752859,34.39,USD,1.08876,-0.35,EUR,23.74,EUR,,,,,,---,0.04,EUR
Market sell,26/01/2023 15:30,---,VWCE,Vanguard FTSE All-World (Acc),0.086767,95.08,EUR,1,0.07,EUR,8.25,EUR,,,,,,---,,
Market sell,26/01/2023 15:30,---,VUAA,Vanguard S&P 500 (Acc),0.024417,68.8,EUR,1,0.01,EUR,1.68,EUR,,,,,,---,,
Market buy,26/01/2023 15:30,---,SGLN,iShares Physical Gold,0.36560502,3045,GBX,88.00531,,EUR,12.67,EUR,,,,,,---,0.02,EUR
Market sell,26/01/2023 15:30,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.013612,200.55,EUR,1,-0.01,EUR,2.73,EUR,,,,,,---,,
Market buy,26/01/2023 15:30,---,VWCE,Vanguard FTSE All-World (Acc),0.079864,95.16,EUR,1,,EUR,7.6,EUR,,,,,,---,,
Market buy,26/01/2023 15:30,---,VUAA,Vanguard S&P 500 (Acc),0.155028,68.89,EUR,1,,EUR,10.68,EUR,,,,,,---,,
Market buy,26/01/2023 15:31,---,SGLN,iShares Physical Gold,0.05484096,3049,GBX,88.0053,,EUR,1.9,EUR,,,,,,---,,
Market buy,26/01/2023 15:31,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.017733,200.75,EUR,1,,EUR,3.56,EUR,,,,,,---,,
Deposit,30/01/2023 11:02,,,,,,,,,,12,EUR,,,,,---,---,,
Market buy,30/01/2023 11:02,---,RR,Rolls-Royce,9.7202717,107.82,GBX,87.92279,,EUR,12,EUR,,,0.06,EUR,,---,0.02,EUR
Market sell,30/01/2023 12:24,---,RR,Rolls-Royce,9.7202717,107.84,GBX,87.9391,0,EUR,11.9,EUR,,,,,,---,0.02,EUR
Deposit,30/01/2023 12:28,,,,,,,,,,1,EUR,,,,,---,---,,
Market buy,30/01/2023 12:29,---,VWCE,Vanguard FTSE All-World (Acc),0.04355,94.83,EUR,1,,EUR,4.13,EUR,,,,,,---,,
Market buy,30/01/2023 12:29,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.0096398,200.2,EUR,1,,EUR,1.93,EUR,,,,,,---,,
Market buy,30/01/2023 12:29,---,SGLN,iShares Physical Gold,0.02991119,3029,GBX,87.96213,,EUR,1.03,EUR,,,,,,---,,
Market buy,30/01/2023 12:29,---,VUAA,Vanguard S&P 500 (Acc),0.084362,68.75,EUR,1,,EUR,5.8,EUR,,,,,,---,,
Deposit,03/02/2023 15:08,,,,,,,,,,50,EUR,,,,,---,---,,
Market buy,03/02/2023 15:09,---,AMZN,Amazon,0.507841,106.35,USD,1.0819,,EUR,49.99,EUR,,,,,,---,0.07,EUR
Deposit,06/02/2023 14:54,,,,,,,,,,50,EUR,,,,,---,---,,
Market buy,07/02/2023 15:00,---,AMZN,Amazon,0.53827,99.09,USD,1.06823,,EUR,50,EUR,,,,,,---,0.07,EUR
Deposit,10/02/2023 12:58,,,,,,,,,,125,EUR,,,,,---,---,,
Market buy,10/02/2023 12:59,---,SGLN,iShares Physical Gold,0.29357589,3004,GBX,88.36693,,EUR,9.99,EUR,,,,,,---,0.01,EUR
Market buy,10/02/2023 12:59,---,VWCE,Vanguard FTSE All-World (Acc),0.415669,96.23,EUR,1,,EUR,40,EUR,,,,,,---,,
Market buy,10/02/2023 12:59,---,VUAA,Vanguard S&P 500 (Acc),0.798125,70.49,EUR,1,,EUR,56.26,EUR,,,,,,---,,
Market buy,10/02/2023 12:59,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.0931903,201.2,EUR,1,,EUR,18.75,EUR,,,,,,---,,
Deposit,16/02/2023 16:41,,,,,,,,,,195,EUR,,,,,---,---,,
Market buy,17/02/2023 08:00,---,SGLN,iShares Physical Gold,0.55369667,2976,GBX,89.16673,,EUR,18.51,EUR,,,,,,---,0.03,EUR
Market buy,17/02/2023 08:04,---,LYP6,Amundi STOXX Europe 600 DR (Acc),0.1438307,203.85,EUR,1,,EUR,29.32,EUR,,,,,,---,,
Market buy,17/02/2023 08:04,---,VWCE,Vanguard FTSE All-World (Acc),0.650479,96.79,EUR,1,,EUR,62.96,EUR,,,,,,---,,
Market buy,17/02/2023 08:04,---,VUAA,Vanguard S&P 500 (Acc),1.184834,71.09,EUR,1,,EUR,84.23,EUR,,,,,,---,,
Deposit,22/02/2023 16:04,,,,,,,,,,20,EUR,,,,,---,---,,
